index,Species,Temp,S_hatch,S_pup,S_adult,Mass_mg,Long,F,Long_m_juv22.5C,Long_f_juv22.5C,F_juv22.5C,Long_m_ad22.5C,Long_f_ad22.5C,F_ad22.5C,R0_estimated,Notes
923,Plutella xylostella,32.5,NA,18,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Either juv or adults reared at constant C for long and fecund
923,Plutella xylostella,30,83.8,30.8,0.262,NA,NA,NA,2.3,4.6,30.8,9.2,6.3,99,3.979,Either juv or adults reared at constant C for long and fecund
923,Plutella xylostella,27.5,94.8,61.9,0.462,NA,NA,NA,5,4,75.6,6.7,5.4,105.2,15.932,Either juv or adults reared at constant C for long and fecund
923,Plutella xylostella,25,96,48.7,0.48,NA,NA,NA,6.5,6.2,62.6,7.3,6.3,95.2,16.285,Either juv or adults reared at constant C for long and fecund
923,Plutella xylostella,22.5,94.1,55.8,0.534,NA,NA,NA,7,6.5,77.4,9.1,7.2,129.5,18.801,Either juv or adults reared at constant C for long and fecund
923,Plutella xylostella,20,96,51.8,0.429,NA,NA,NA,NA,NA,NA,8.9,7.1,116.8,NA,Either juv or adults reared at constant C for long and fecund
923,Plutella xylostella,17.5,100,54,0.42,NA,NA,45.6,6.6,6.9,45.6,6.3,5.9,78.8,9.139,Either juv or adults reared at constant C for long and fecund
815,Aproaerema modicella,15,NA,NA,NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA,"S temperature independent, 87-100%"
815,Aproaerema modicella,20,NA,NA,NA,NA,NA,42.7,NA,NA,NA,NA,NA,NA,NA,"S temperature independent, 87-100%"
815,Aproaerema modicella,25,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,"S temperature independent, 87-100%"
815,Aproaerema modicella,30,NA,NA,NA,NA,NA,87.6,NA,NA,NA,NA,NA,NA,NA,"S temperature independent, 87-100%"
815,Aproaerema modicella,35,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,"S temperature independent, 87-100%"
28,Clitostethus arcuatus,21.1,NA,NA,0.784,NA,NA,145.44,NA,NA,NA,NA,NA,NA,57.01,NA
28,Clitostethus arcuatus,28.2,NA,NA,0.784,NA,NA,202,NA,NA,NA,NA,NA,NA,79.18,NA
28,Clitostethus arcuatus,32.2,NA,NA,0.351,NA,NA,17.3,NA,NA,NA,NA,NA,NA,3.036,NA
39,Coleomegilla maculata lengi,19,NA,NA,0.274,11.5,5,62.1,NA,NA,NA,NA,NA,NA,NA,Some stage specific S
39,Coleomegilla maculata lengi,25,NA,NA,0.871,11.6,3.9,66.8,NA,NA,NA,NA,NA,NA,NA,Some stage specific S
39,Coleomegilla maculata lengi,27.3,NA,NA,0.884,11.9,3.5,23.4,NA,NA,NA,NA,NA,NA,NA,Some stage specific S
39,Coleomegilla maculata lengi,17,NA,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some stage specific S
39,Coleomegilla maculata lengi,21,NA,NA,0.667,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some stage specific S
39,Coleomegilla maculata lengi,23,NA,NA,0.672,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some stage specific S
102,Dermestes haemorrhoidalis,20,NA,NA,NA,34.9,NA,62.2,NA,NA,NA,NA,NA,NA,NA,"Varies humidity, S data and multiple ovipositing periods, Mass f but m available"
102,Dermestes haemorrhoidalis,25,NA,NA,NA,29.5,NA,33.4,NA,NA,NA,NA,NA,NA,NA,"Varies humidity, S data and multiple ovipositing periods, Mass f but m available"
102,Dermestes haemorrhoidalis,30,NA,NA,NA,23.8,NA,22.4,NA,NA,NA,NA,NA,NA,NA,"Varies humidity, S data and multiple ovipositing periods, Mass f but m available"
103,Dermestes peruvianus,20,NA,NA,NA,34.7,NA,16.6,NA,NA,NA,NA,NA,NA,NA,"Varies humidity, S data and multiple ovipositing periods, Mass f but m available"
103,Dermestes peruvianus,25,NA,NA,NA,35.6,NA,0.8,NA,NA,NA,NA,NA,NA,NA,"Varies humidity, S data and multiple ovipositing periods, Mass f but m available"
939,Eldana saccharina,20,NA,NA,NA,NA,14.6,474.4,NA,NA,NA,NA,NA,NA,NA,NA
939,Eldana saccharina,25,NA,NA,NA,NA,8.8,619.9,NA,NA,NA,NA,NA,NA,NA,NA
939,Eldana saccharina,30,NA,NA,NA,NA,6.6,621.3,NA,NA,NA,NA,NA,NA,NA,NA
880,Sesamia calamistis,20,NA,NA,NA,NA,9.9,687.7,NA,NA,NA,NA,NA,NA,NA,NA
880,Sesamia calamistis,25,NA,NA,NA,NA,9.8,248.9,NA,NA,NA,NA,NA,NA,NA,NA
880,Sesamia calamistis,30,NA,NA,NA,NA,5.7,454.3,NA,NA,NA,NA,NA,NA,NA,NA
924,Platyptilia carduidactyla,10,NA,NA,NA,NA,23.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA
924,Platyptilia carduidactyla,13,NA,NA,NA,NA,17.3,234.1,NA,NA,NA,NA,NA,NA,NA,NA
924,Platyptilia carduidactyla,16,NA,NA,NA,NA,15.1,249,NA,NA,NA,NA,NA,NA,NA,NA
924,Platyptilia carduidactyla,19,NA,NA,NA,NA,12,283.6,NA,NA,NA,NA,NA,NA,NA,NA
924,Platyptilia carduidactyla,22,NA,NA,NA,NA,9.1,230.3,NA,NA,NA,NA,NA,NA,NA,NA
924,Platyptilia carduidactyla,25,NA,NA,NA,NA,8,231.7,NA,NA,NA,NA,NA,NA,NA,NA
924,Platyptilia carduidactyla,28,NA,NA,NA,NA,5.2,102.1,NA,NA,NA,NA,NA,NA,NA,NA
74,Scymnus levaillanti,15,NA,NA,NA,NA,174.6,NA,NA,NA,NA,NA,NA,NA,NA,Also eggs per day
74,Scymnus levaillanti,20,NA,NA,NA,NA,133.2,428.2,NA,NA,NA,NA,NA,NA,NA,Also eggs per day
74,Scymnus levaillanti,25,NA,NA,NA,NA,107.7,455.7,NA,NA,NA,NA,NA,NA,NA,Also eggs per day
74,Scymnus levaillanti,30,NA,NA,NA,NA,69.9,393.1,NA,NA,NA,NA,NA,NA,NA,Also eggs per day
74,Scymnus levaillanti,35,NA,NA,NA,NA,46.9,83.4,NA,NA,NA,NA,NA,NA,NA,Also eggs per day
1.1,Plutella xylostella,10,0.9562,NA,0.5827,NA,58.46,26.83,NA,NA,NA,NA,NA,NA,NA,"https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0173590, file:///Users/lbuckley/Downloads/DrGolizadehpaperASPEN86.pdf"
1.1,Plutella xylostella,15,0.95,NA,0.6942,NA,31.89,155.64,NA,NA,NA,NA,NA,NA,NA,
1.1,Plutella xylostella,20,0.9875,NA,0.8621,NA,22.61,265.21,NA,NA,NA,NA,NA,NA,NA,
1.1,Plutella xylostella,25,0.9714,NA,0.8095,NA,14.04,197.83,NA,NA,NA,NA,NA,NA,NA,
1.1,Plutella xylostella,30,0.9333,NA,0.722,NA,13.9,101.54,NA,NA,NA,NA,NA,NA,NA,
1.1,Plutella xylostella,35,0.1916,NA,0,NA,6.43,NA,NA,NA,NA,NA,NA,NA,NA,